ObjectName: grass_square_mesh (1) Pos: 100 0 100 Rotate: 0
ObjectName: bush_small_mesh (1) Pos: 96.21 0 97.02 Rotate: 0
ObjectName: road_straight_clear_mesh (24) Pos: 80 0 40 Rotate: 180
ObjectName: rubbishTruck_mesh Pos: 51.62 0 31.06 Rotate: 180
ObjectName: fence_long_mesh Pos: 96.93001 0 99.09972 Rotate: 0
ObjectName: roadLane_straight_Centered_mesh (5) Pos: 15 0.00999999 53.3 Rotate: 0
ObjectName: Prop_Tree_01 (1) Pos: 29.96 0 57.5 Rotate: 0
ObjectName: road_straight_clear_mesh (59) Pos: 40 0 95 Rotate: 270
ObjectName: fence_long_mesh (4) Pos: 75.71 0 99.09972 Rotate: 0
ObjectName: roadLane_straight_Centered_mesh (30) Pos: 53.3 0.00999999 70 Rotate: 90.00001
ObjectName: Env_Planter (3) Pos: 24.84 0 84.42 Rotate: 0
ObjectName: car_red (1) Pos: 9.73 0 11.48 Rotate: 0
ObjectName: Prop_Beachseat_01 Pos: 80.14 0 92.13 Rotate: 0
ObjectName: road_straight_clear_mesh (49) Pos: 60 0 75 Rotate: 90.00001
ObjectName: road_straight_clear_mesh (55) Pos: 40 0 95 Rotate: 270
ObjectName: Building_BaberShop Pos: 17.43 -1 62.93 Rotate: 0
ObjectName: road_corner_mesh (2) Pos: 40 0 60 Rotate: 270
ObjectName: Prop_Tree_01 (2) Pos: 30.07 0 42.42 Rotate: 0
ObjectName: roadLane_straight_Centered_mesh (24) Pos: 53.3 0.00999999 65 Rotate: 90.00001
ObjectName: roadLane_straight_Centered_mesh (31) Pos: 53.3 0.00999999 95 Rotate: 90.00001
ObjectName: Prop_Umbrella_02 Pos: 64.72 -1 6.616306 Rotate: 0
ObjectName: Prop_Tree_02 (1) Pos: 42.3 0 69.98 Rotate: 0
ObjectName: Building_Shop_05 (1) Pos: 34.31 0 5.259995 Rotate: 270
ObjectName: roadLane_straight_Centered_mesh (2) Pos: 35 0.00999999 53.3 Rotate: 0
ObjectName: Building_StoreCorner_Drug Pos: 65.62 0 65.44 Rotate: 0
ObjectName: roadLane_straight_Centered_mesh (12) Pos: 85 0.00999999 53.3 Rotate: 0
